Date,Open,High,Low,Close,Volume,sentiment
2025-02-14,723.2381862179419,737.9491204423847,722.7202448085826,733.72607421875,16901200,0.0
2025-02-18,733.058823348987,734.0548271850589,703.6169523863489,713.5072631835938,21938700,0.0
2025-02-19,701.2862790989086,704.1747145500551,692.6111245629734,700.9576416015625,17535500,0.0
2025-02-20,694.4935451126314,702.8101523617008,690.8680767624129,692.0632934570312,12587400,0.0
2025-02-21,693.79637977263,701.0572259638877,679.6331733954379,680.8184204101562,15660400,0.0
2025-02-24,683.5375152106747,684.5235492434307,659.8027276987779,665.4600219726562,15677000,0.0
2025-02-25,663.3086823740839,665.330599453422,639.2950431423949,654.87255859375,20579700,0.0
2025-02-26,657.0139704281752,680.2806060030118,655.3705397430182,671.0078125,14488700,0.0
2025-02-27,679.7228329637242,685.8980689317682,654.9422525540249,655.6095581054688,12500000,0.0
2025-02-28,655.41029188353,666.9540022019403,640.0319914083209,665.5297241210938,17534200,0.7221255000000001
2025-03-03,670.9878058928375,678.5275616526835,648.2391140524159,652.4322509765625,10843800,0.0
2025-03-04,642.9304346142569,647.1534810781478,621.1578057314852,637.4424438476562,21495200,0.0
2025-03-05,638.4384682626843,656.8645394995948,635.1117886533837,653.8466186523438,13770000,0.0
2025-03-06,645.4104577126469,647.9602249904791,621.6159125135576,625.420654296875,13446500,0.0
2025-03-07,622.8709097782997,632.2532488274342,598.2098452417057,623.1597290039062,21375700,0.0
2025-03-10,605.6401398465449,607.6719660555057,584.5248435761125,595.6004028320312,21999900,0.0
2025-03-11,592.6721150475107,612.4726776603288,590.9590175004934,603.28955078125,17401500,0.0
2025-03-12,627.3828123944874,630.7990981033598,606.9148858522937,617.0841064453125,15747000,0.0
2025-03-13,617.7714474024408,618.0204483888988,584.1662839966624,588.27978515625,16480300,0.0
2025-03-14,600.9252674163599,606.9664182577417,592.9302511563588,605.7103271484375,12364500,0.0
2025-03-17,605.5708348514025,611.1932483347241,596.1402333361115,603.018798828125,15473900,0.0
2025-03-18,598.1837512328132,598.3831413748485,572.8727029614505,580.5487670898438,20297700,0.0
2025-03-19,582.4628776976826,590.4778508331983,572.9824447250121,582.2435302734375,20537500,0.0
2025-03-20,580.947637342476,608.3023019039958,577.7077447799743,584.1775512695312,24336500,0.0
2025-03-21,581.6055148479699,595.6815960079244,579.1432258888485,594.3956298828125,25015900,0.0
2025-03-24,613.0573552722462,620.6038191496141,610.2960116120224,616.92529296875,15741300,0.0
2025-03-25,624.81079529283,631.9086473292332,619.2481319746062,624.3621826171875,15312500,0.0
2025-03-26,622.9466079863333,624.8008087872727,604.7234295430264,609.079833984375,12609800,0.0
2025-03-27,600.1276584624363,612.3395584892883,598.2335435078968,600.7058715820312,10436500,0.0
2025-03-28,598.4429920373162,599.8785159717515,572.1350521556752,574.9462890625,17602800,0.0
2025-03-31,561.7474544327795,576.9001929680891,551.57916536005,574.5674438476562,21124700,0.0
2025-04-01,569.0647253499337,588.0753644727768,568.2273109618308,584.1775512695312,12836600,0.0
2025-04-02,573.1219856405797,590.8167826006645,571.5768183567942,582.1139526367188,13470800,0.094718
2025-04-03,544.5212449573834,550.8415545424743,528.6507726588703,529.9666748046875,34777500,0.775781
2025-04-04,505.0443845169023,516.3889970810194,492.6630283031205,503.1602783203125,38589800,0.0
2025-04-07,483.591294981514,537.6924987241373,480.4012351429564,514.6444091796875,36606100,0.0
2025-04-08,541.5604660254379,545.7274587202911,501.2960662909104,508.8624877929688,28034200,0.0
2025-04-09,507.6861840842117,586.0617052580021,500.5484476857142,583.9483032226562,39216600,0.0
2025-04-10,573.7001386064724,579.4920662876316,533.635132502997,544.5909423828125,28173500,0.0
2025-04-11,533.8445854574395,545.6976224228102,526.9461235413648,541.8795166015625,17642300,0.0
2025-04-14,554.4402405149555,556.0353008675298,526.6370273527008,529.8270263671875,14130900,0.0
2025-04-15,530.4551641641592,536.2670503486098,515.890614744966,519.8981323242188,15558700,0.0
2025-04-16,506.92850187672303,511.7733722747432,494.0885548667942,500.7477722167969,18735100,0.0
2025-04-17,503.67864377215466,505.72225598652767,496.4611703190648,499.9203796386719,14593500,0.0
2025-04-21,489.80188733411177,491.9651517419281,478.3077483289628,483.1526489257813,16166000,0.0
2025-04-22,490.3402426542842,505.30357016721007,484.84736943102456,498.7240905761719,17399400,0.0
2025-04-23,526.8862986388891,533.6751170758674,514.9136400551463,518.6519775390625,18173900,0.0
2025-04-24,517.1167453309313,532.2396108812093,515.8905900656315,531.491943359375,13910000,0.0
2025-04-25,545.09942323875,548.1499041120835,534.5822462279478,545.5679931640625,17098900,0.0
2025-04-28,553.9119485027396,556.7530605327843,538.9087668679174,548.0302734375,15179000,0.0
2025-04-29,544.3019441443117,554.8390788259818,542.427786062415,552.7156982421875,11835000,0.0
2025-04-30,536.725533164549,547.392206153298,527.8531889368276,547.2925415039062,29244000,0.0
2025-05-01,590.238618351305,591.1059077397648,568.7257162038675,570.430419921875,31159000,-0.977727
2025-05-02,581.6454434907807,602.460510920923,576.5313930797772,595.1632690429688,24739300,0.18752833333333332
2025-05-05,589.3812975732367,601.3340602087777,586.2211731974465,597.4063110351562,13887700,0.0
2025-05-06,590.687195299098,594.1763099115676,584.7556882888333,585.4833984375,10600700,0.0
2025-05-07,588.5239054125428,601.2043765510581,584.8453792561588,594.953857421875,13139100,0.0
